,file_name,condition,replicate,name
wildtype_01,WT_rep01_MID39_allLanes_tophat2.0.5.bam.gbgout,wildtype,1,wildtype_01
wildtype_02,WT_rep02_MID50_allLanes_tophat2.0.5.bam.gbgout,wildtype,2,wildtype_02
wildtype_03,WT_rep03_MID51_allLanes_tophat2.0.5.bam.gbgout,wildtype,3,wildtype_03
wildtype_04,WT_rep04_MID58_allLanes_tophat2.0.5.bam.gbgout,wildtype,4,wildtype_04
wildtype_05,WT_rep05_MID93_allLanes_tophat2.0.5.bam.gbgout,wildtype,5,wildtype_05
wildtype_06,WT_rep06_MID30_allLanes_tophat2.0.5.bam.gbgout,wildtype,6,wildtype_06
wildtype_07,WT_rep07_MID24_allLanes_tophat2.0.5.bam.gbgout,wildtype,7,wildtype_07
wildtype_08,WT_rep08_MID20_allLanes_tophat2.0.5.bam.gbgout,wildtype,8,wildtype_08
wildtype_09,WT_rep09_MID91_allLanes_tophat2.0.5.bam.gbgout,wildtype,9,wildtype_09
wildtype_10,WT_rep10_MID37_allLanes_tophat2.0.5.bam.gbgout,wildtype,10,wildtype_10
wildtype_11,WT_rep11_MID54_allLanes_tophat2.0.5.bam.gbgout,wildtype,11,wildtype_11
wildtype_12,WT_rep12_MID03_allLanes_tophat2.0.5.bam.gbgout,wildtype,12,wildtype_12
wildtype_13,WT_rep13_MID45_allLanes_tophat2.0.5.bam.gbgout,wildtype,13,wildtype_13
wildtype_14,WT_rep14_MID52_allLanes_tophat2.0.5.bam.gbgout,wildtype,14,wildtype_14
wildtype_15,WT_rep15_MID09_allLanes_tophat2.0.5.bam.gbgout,wildtype,15,wildtype_15
wildtype_16,WT_rep16_MID92_allLanes_tophat2.0.5.bam.gbgout,wildtype,16,wildtype_16
wildtype_17,WT_rep17_MID66_allLanes_tophat2.0.5.bam.gbgout,wildtype,17,wildtype_17
wildtype_18,WT_rep18_MID48_allLanes_tophat2.0.5.bam.gbgout,wildtype,18,wildtype_18
wildtype_19,WT_rep19_MID83_allLanes_tophat2.0.5.bam.gbgout,wildtype,19,wildtype_19
wildtype_20,WT_rep20_MID90_allLanes_tophat2.0.5.bam.gbgout,wildtype,20,wildtype_20
wildtype_23,WT_rep23_MID36_allLanes_tophat2.0.5.bam.gbgout,wildtype,23,wildtype_23
wildtype_24,WT_rep24_MID69_allLanes_tophat2.0.5.bam.gbgout,wildtype,24,wildtype_24
wildtype_26,WT_rep26_MID08_allLanes_tophat2.0.5.bam.gbgout,wildtype,26,wildtype_26
wildtype_27,WT_rep27_MID41_allLanes_tophat2.0.5.bam.gbgout,wildtype,27,wildtype_27
wildtype_29,WT_rep29_MID68_allLanes_tophat2.0.5.bam.gbgout,wildtype,29,wildtype_29
wildtype_30,WT_rep30_MID27_allLanes_tophat2.0.5.bam.gbgout,wildtype,30,wildtype_30
wildtype_31,WT_rep31_MID43_allLanes_tophat2.0.5.bam.gbgout,wildtype,31,wildtype_31
wildtype_32,WT_rep32_MID95_allLanes_tophat2.0.5.bam.gbgout,wildtype,32,wildtype_32
wildtype_33,WT_rep33_MID88_allLanes_tophat2.0.5.bam.gbgout,wildtype,33,wildtype_33
wildtype_35,WT_rep35_MID32_allLanes_tophat2.0.5.bam.gbgout,wildtype,35,wildtype_35
wildtype_37,WT_rep37_MID07_allLanes_tophat2.0.5.bam.gbgout,wildtype,37,wildtype_37
wildtype_38,WT_rep38_MID87_allLanes_tophat2.0.5.bam.gbgout,wildtype,38,wildtype_38
wildtype_39,WT_rep39_MID05_allLanes_tophat2.0.5.bam.gbgout,wildtype,39,wildtype_39
wildtype_40,WT_rep40_MID18_allLanes_tophat2.0.5.bam.gbgout,wildtype,40,wildtype_40
wildtype_41,WT_rep41_MID13_allLanes_tophat2.0.5.bam.gbgout,wildtype,41,wildtype_41
wildtype_42,WT_rep42_MID10_allLanes_tophat2.0.5.bam.gbgout,wildtype,42,wildtype_42
wildtype_43,WT_rep43_MID49_allLanes_tophat2.0.5.bam.gbgout,wildtype,43,wildtype_43
wildtype_44,WT_rep44_MID22_allLanes_tophat2.0.5.bam.gbgout,wildtype,44,wildtype_44
wildtype_45,WT_rep45_MID44_allLanes_tophat2.0.5.bam.gbgout,wildtype,45,wildtype_45
wildtype_46,WT_rep46_MID94_allLanes_tophat2.0.5.bam.gbgout,wildtype,46,wildtype_46
wildtype_47,WT_rep47_MID17_allLanes_tophat2.0.5.bam.gbgout,wildtype,47,wildtype_47
wildtype_48,WT_rep48_MID85_allLanes_tophat2.0.5.bam.gbgout,wildtype,48,wildtype_48
knockout_01,Snf2_rep01_MID96_allLanes_tophat2.0.5.bam.gbgout,knockout,1,knockout_01
knockout_02,Snf2_rep02_MID21_allLanes_tophat2.0.5.bam.gbgout,knockout,2,knockout_02
knockout_03,Snf2_rep03_MID28_allLanes_tophat2.0.5.bam.gbgout,knockout,3,knockout_03
knockout_04,Snf2_rep04_MID11_allLanes_tophat2.0.5.bam.gbgout,knockout,4,knockout_04
knockout_05,Snf2_rep05_MID82_allLanes_tophat2.0.5.bam.gbgout,knockout,5,knockout_05
knockout_07,Snf2_rep07_MID26_allLanes_tophat2.0.5.bam.gbgout,knockout,7,knockout_07
knockout_08,Snf2_rep08_MID78_allLanes_tophat2.0.5.bam.gbgout,knockout,8,knockout_08
knockout_09,Snf2_rep09_MID04_allLanes_tophat2.0.5.bam.gbgout,knockout,9,knockout_09
