"sample","PC1","PC2","group","condition","name"
"wildtype_01",-15.4938132139474,8.34590262504837,"wildtype","wildtype","wildtype_01"
"wildtype_02",-15.1755784474727,-6.38694103855456,"wildtype","wildtype","wildtype_02"
"wildtype_03",-13.6797710018437,2.39744609840897,"wildtype","wildtype","wildtype_03"
"wildtype_04",-14.4839408666493,6.11632268183141,"wildtype","wildtype","wildtype_04"
"wildtype_05",-16.183983753567,-8.28326314789682,"wildtype","wildtype","wildtype_05"
"wildtype_06",-16.7711464666404,-8.67922368639247,"wildtype","wildtype","wildtype_06"
"wildtype_07",-17.7778208500601,-3.82567606882227,"wildtype","wildtype","wildtype_07"
"wildtype_08",-16.0280321087954,3.32975805861412,"wildtype","wildtype","wildtype_08"
"wildtype_09",-15.9553128483812,0.0644937160078544,"wildtype","wildtype","wildtype_09"
"wildtype_10",-16.0502790154348,-6.65606623670927,"wildtype","wildtype","wildtype_10"
"wildtype_11",-14.742623260832,7.28337070382288,"wildtype","wildtype","wildtype_11"
"wildtype_12",-17.1140843772577,-5.17933854346923,"wildtype","wildtype","wildtype_12"
"wildtype_13",-15.9211068377579,-5.57451666496098,"wildtype","wildtype","wildtype_13"
"wildtype_14",-13.5064903520302,7.71558195273549,"wildtype","wildtype","wildtype_14"
"wildtype_15",-15.4848522860198,5.89153345053877,"wildtype","wildtype","wildtype_15"
"wildtype_16",-17.1430606521275,-4.43326061154688,"wildtype","wildtype","wildtype_16"
"wildtype_17",-13.7007017879932,6.44874874788494,"wildtype","wildtype","wildtype_17"
"wildtype_18",-16.0862108805949,-1.32682282399543,"wildtype","wildtype","wildtype_18"
"wildtype_19",-15.0019609113339,6.50547204383004,"wildtype","wildtype","wildtype_19"
"wildtype_20",-15.3194162577922,8.88533412988711,"wildtype","wildtype","wildtype_20"
"wildtype_23",-16.4412592013051,-6.89792484015741,"wildtype","wildtype","wildtype_23"
"wildtype_24",-16.2224832596505,-9.46676754240227,"wildtype","wildtype","wildtype_24"
"wildtype_26",-16.0451425055276,3.07362993789425,"wildtype","wildtype","wildtype_26"
"wildtype_27",-16.7623640655223,-8.05424030369947,"wildtype","wildtype","wildtype_27"
"wildtype_29",-16.2085449861825,-6.76118199228293,"wildtype","wildtype","wildtype_29"
"wildtype_30",-15.1414857345491,7.21546401400842,"wildtype","wildtype","wildtype_30"
"wildtype_31",-17.0418735630439,-7.1801214103742,"wildtype","wildtype","wildtype_31"
"wildtype_32",-14.7394305582237,10.1862486241792,"wildtype","wildtype","wildtype_32"
"wildtype_33",-16.7294832034124,-6.98406738240596,"wildtype","wildtype","wildtype_33"
"wildtype_35",-16.7628065806325,-6.82019779633306,"wildtype","wildtype","wildtype_35"
"wildtype_37",-16.3153245510364,3.92214438373581,"wildtype","wildtype","wildtype_37"
"wildtype_38",-15.3978593595109,11.5001729856663,"wildtype","wildtype","wildtype_38"
"wildtype_39",-17.9297837374531,-1.97022776087002,"wildtype","wildtype","wildtype_39"
"wildtype_40",-15.0280355902401,5.87860423656154,"wildtype","wildtype","wildtype_40"
"wildtype_41",-16.892542834525,-8.56654175113503,"wildtype","wildtype","wildtype_41"
"wildtype_42",-15.7254300876451,-0.403194763845151,"wildtype","wildtype","wildtype_42"
"wildtype_43",-13.146202960875,9.67904547784151,"wildtype","wildtype","wildtype_43"
"wildtype_44",-16.8309870907524,9.41543411589319,"wildtype","wildtype","wildtype_44"
"wildtype_45",-17.7191906298371,-6.25839594102256,"wildtype","wildtype","wildtype_45"
"wildtype_46",-14.685522830741,3.51073763262223,"wildtype","wildtype","wildtype_46"
"wildtype_47",-16.8445071079624,-5.72761085115783,"wildtype","wildtype","wildtype_47"
"wildtype_48",-14.6970367150354,6.21520116386297,"wildtype","wildtype","wildtype_48"
"knockout_01",15.7540357342607,1.22268756436654,"knockout","knockout","knockout_01"
"knockout_02",14.9081163657861,2.96336402935696,"knockout","knockout","knockout_02"
"knockout_03",15.4744711630566,0.994374137555057,"knockout","knockout","knockout_03"
"knockout_04",16.204723267228,0.502269249275176,"knockout","knockout","knockout_04"
"knockout_05",15.9671548034791,3.50589964145015,"knockout","knockout","knockout_05"
"knockout_07",15.902357015975,0.865233001325206,"knockout","knockout","knockout_07"
"knockout_08",14.4001205956012,1.83251208638397,"knockout","knockout","knockout_08"
"knockout_09",14.5165374814654,-2.75467696817888,"knockout","knockout","knockout_09"
"knockout_10",15.1819020784568,-4.49442646885162,"knockout","knockout","knockout_10"
"knockout_11",14.7945737256211,0.114095684923955,"knockout","knockout","knockout_11"
"knockout_12",15.8929980323824,-0.396579010037118,"knockout","knockout","knockout_12"
"knockout_14",14.6897660635522,-1.35825912061214,"knockout","knockout","knockout_14"
"knockout_15",14.9494464191753,5.13349980067526,"knockout","knockout","knockout_15"
"knockout_16",13.8431542076442,-2.63095954877889,"knockout","knockout","knockout_16"
"knockout_17",15.5936014736211,1.65816424022918,"knockout","knockout","knockout_17"
"knockout_18",14.4177640951188,-0.809074091064356,"knockout","knockout","knockout_18"
"knockout_19",15.3218606183953,2.15378003081113,"knockout","knockout","knockout_19"
"knockout_20",14.1473193273732,0.584347438510691,"knockout","knockout","knockout_20"
"knockout_21",14.6087044377474,-3.45145427981015,"knockout","knockout","knockout_21"
"knockout_22",15.1578357914245,-0.285021072068498,"knockout","knockout","knockout_22"
"knockout_23",14.7494730693708,-2.06961210058171,"knockout","knockout","knockout_23"
"knockout_24",15.3343422741331,-1.64862363776901,"knockout","knockout","knockout_24"
"knockout_26",16.4501318024935,3.25304008062457,"knockout","knockout","knockout_26"
"knockout_27",13.8133517572059,-3.5262786540566,"knockout","knockout","knockout_27"
"knockout_28",15.2454081137344,2.06470695151221,"knockout","knockout","knockout_28"
"knockout_29",16.1318091372459,2.4943519964411,"knockout","knockout","knockout_29"
"knockout_30",13.8421382757727,-2.64930320737983,"knockout","knockout","knockout_30"
"knockout_31",14.5208618553097,2.05531027444247,"knockout","knockout","knockout_31"
"knockout_32",16.1876214695803,0.46753638736629,"knockout","knockout","knockout_32"
"knockout_33",13.8376871725025,-4.11106222096625,"knockout","knockout","knockout_33"
"knockout_34",14.6292015319707,-3.19996403663099,"knockout","knockout","knockout_34"
"knockout_36",14.9698935539138,0.820927869931559,"knockout","knockout","knockout_36"
"knockout_37",14.5533038104068,-3.89312673163288,"knockout","knockout","knockout_37"
"knockout_38",14.6082432693738,0.0606340852764831,"knockout","knockout","knockout_38"
"knockout_39",15.2641658540012,-0.0776163187266411,"knockout","knockout","knockout_39"
"knockout_40",15.4184833296015,0.0996992265514031,"knockout","knockout","knockout_40"
"knockout_41",15.3541010069045,2.99582382960301,"knockout","knockout","knockout_41"
"knockout_42",14.9672264598887,1.38790415883534,"knockout","knockout","knockout_42"
"knockout_43",16.130007399024,1.9379121107967,"knockout","knockout","knockout_43"
"knockout_44",16.207886086517,-0.378157172779107,"knockout","knockout","knockout_44"
"knockout_45",14.99976301753,-0.875055013511041,"knockout","knockout","knockout_45"
"knockout_46",14.7872362374257,-3.44693790128538,"knockout","knockout","knockout_46"
"knockout_47",15.4590767189601,-2.50674634083624,"knockout","knockout","knockout_47"
"knockout_48",15.7396274299644,-2.75020560352868,"knockout","knockout","knockout_48"
