"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YML123C",5953.41948797837,-4.95734773360868,0.1253069055604,-39.5616483500118,0,0
"YDR033W",4143.95764610627,-3.63312768004552,0.136743515443424,-26.5689211533301,1.55264301030642e-155,4.77437725669224e-152
"YGR234W",2970.08873195424,-4.13323771159367,0.177698781611091,-23.25979769878,1.1322127088596e-119,2.32103605316217e-116
"YOR290C",836.782220385659,-8.05616078229768,0.351781403898936,-22.9010422182867,4.53639182977186e-116,6.97470243827424e-113
"YHR136C",663.610898783011,-5.13935395237704,0.244188984060253,-21.0466249006094,2.4555548915541e-98,3.02033251661154e-95
"YHR215W",1381.51037402486,-4.43317227097153,0.210965730856965,-21.0137080224523,4.91434466298599e-98,5.03720327956064e-95
"YIL121W",957.406635046057,-2.90590059222706,0.13854297103997,-20.9747240903957,1.11612065033655e-97,9.80591714224257e-95
"YFR015C",6731.43610516382,-3.21471347872125,0.156347543824186,-20.5613302268197,6.0939310578933e-94,4.68470950075548e-91
"YAR071W",1762.24684542436,-4.37679797882495,0.215322541427535,-20.3267059259466,7.46487666397145e-92,5.10099905371383e-89
"YOR153W",6956.78530027814,-2.56582329505167,0.127140116484578,-20.1810676755428,1.43610614511883e-90,8.83205279248079e-88
"YER081W",4945.82300667293,3.13915393500962,0.155684294519405,20.1635877575201,2.04502157995421e-90,1.14335297424713e-87
"YPR160W",3041.16420724811,-2.85672617794162,0.163807825919051,-17.4394975448446,4.13694938269133e-68,2.12018655862931e-65
"YJR027W",2009.6340625626,-2.37873936581281,0.137363501565268,-17.3171136343125,3.49451654581123e-67,1.65317513513378e-64
"YDR406W",1630.95842059967,-2.1319791479556,0.124646743153024,-17.1041705063906,1.38154654170398e-65,6.06893659391389e-63
"YML039W",1693.83847205814,-2.47738448886301,0.146470907245534,-16.9138331662689,3.55793767828031e-64,1.45875444809493e-61
"YOL103W-B",1931.2957866103,-2.47559260465285,0.149240147628151,-16.5879801380328,8.51357327118489e-62,3.27240472611169e-59
"YDR055W",1934.11530911731,-2.3374274822961,0.142354203448512,-16.4197995259165,1.38021986990663e-60,4.99314835289752e-58
"YGR027W-B",1888.24516128324,-2.47085414099958,0.152079009938084,-16.2471740314823,2.33900369375062e-59,7.99159595364794e-57
"YDR365W-B",1536.14198787271,-2.29296875782174,0.141543368453256,-16.1997611253612,5.06233331376119e-59,1.63859736208586e-56
"YPL257W-B",1457.14496854453,-2.47019614102945,0.152945837329125,-16.1507902677588,1.12116053278706e-58,3.44756863832022e-56
"YNL160W",1327.80573465315,-2.75981629892124,0.172047709539746,-16.040994130664,6.60879181853572e-58,1.93543188971403e-55
"YLR258W",4472.01300606571,-2.36869675471005,0.147723938458899,-16.0346168631909,7.3233863549968e-58,2.04721936741956e-55
"YDR261C-D",1600.90229563885,-2.4992150317207,0.156780118094143,-15.9408926469872,3.29611597287157e-57,8.81352749267833e-55
"YER011W",1475.57905611624,-3.86771789140404,0.243261769929365,-15.899407015443,6.39673661818386e-57,1.63916375840961e-54
"YPR158C-D",1946.13102693203,-2.46993952827618,0.155607800458941,-15.8728516243497,9.76992657512667e-57,2.40340193748116e-54
"YER138C",1660.28981320375,-2.45794126086518,0.155756566010463,-15.7806590362301,4.22750891343223e-56,9.99968454523393e-54
"YAR009C",1288.22190631906,-2.43493191777172,0.15585852379018,-15.6227061475936,5.09945482604812e-55,1.1615424881554e-52
"YPR137C-B",1461.21047769166,-2.25507352833201,0.147377345117608,-15.3013580651249,7.48777163086887e-53,1.64463555463727e-50
"YLR157C-B",2080.06256120593,-2.41864568945954,0.159802115371187,-15.1352545230176,9.48131734114201e-52,2.01069316027667e-49
"YHR092C",10244.8778625033,-2.71177110093148,0.179432552076915,-15.1130386852496,1.32868547452688e-51,2.72380522278011e-49
"YER160C",1417.0139787393,-2.28880805196759,0.151663685161723,-15.0913387705631,1.84657179370568e-51,3.66336017138384e-49
"YDR399W",1652.30107710018,-1.79173481805575,0.122219997872041,-14.6599153105174,1.16418074545993e-48,2.23740987018081e-46
"YFR055W",1084.8552714597,-2.20856218599236,0.15152985298127,-14.575096210681,4.04552284188934e-48,7.5393834780665e-46
"YMR050C",1964.78986916408,-2.32636488771007,0.160780682101761,-14.4691816037804,1.89716014667094e-47,3.43162791236066e-45
"YML045W",1731.53121648969,-2.32201389758851,0.162042131337679,-14.3296923980201,1.42751473239974e-46,2.5083473155024e-44
"YGR035C",303.802690844141,-3.37944477085624,0.236672116378053,-14.2790153000449,2.95750820280652e-46,5.05240984646115e-44
"YKL062W",1353.33692662728,-2.42637257648643,0.170775346579566,-14.2079792258302,8.1750635992971e-46,1.35882813880209e-43
"YPR158W-B",1556.3704115807,-2.29085974804556,0.161837124887358,-14.1553413633618,1.73095166435056e-45,2.80140861467261e-43
"YGR038C-B",1690.96823287839,-2.2658903855921,0.160257354537206,-14.1390726942647,2.1813988035884e-45,3.43989811335095e-43
