replicate_number,run_number,random_seed,total_selected_samples,full_significant_genes,subsample_significant_genes,recovered_genes,subsample_only_genes,recovery_percentage
3,1,123,6,5127,1167,1164,3,22.70333528
3,2,124,6,5127,1928,1924,4,37.5268188
3,3,125,6,5127,1602,1595,7,31.10981081
3,4,126,6,5127,1635,1632,3,31.8314804
3,5,127,6,5127,984,978,6,19.07548274
3,6,128,6,5127,2221,2209,12,43.08562512
3,7,129,6,5127,2594,2448,146,47.7472206
3,8,130,6,5127,1491,1482,9,28.90579286
3,9,131,6,5127,1111,1104,7,21.53306027
3,10,132,6,5127,1493,1491,2,29.08133411
3,11,133,6,5127,1187,1162,25,22.66432612
3,12,134,6,5127,1883,1833,50,35.7519017
3,13,135,6,5127,2049,2031,18,39.61380925
3,14,136,6,5127,2329,2279,50,44.45094597
3,15,137,6,5127,2699,2545,154,49.6391652
3,16,138,6,5127,1338,1334,4,26.01911449
3,17,139,6,5127,1580,1574,6,30.70021455
3,18,140,6,5127,1602,1598,4,31.16832456
3,19,141,6,5127,1670,1658,12,32.33859957
3,20,142,6,5127,2130,2027,103,39.53579091
3,21,143,6,5127,1306,1304,2,25.43397698
3,22,144,6,5127,2379,2244,135,43.76828555
3,23,145,6,5127,983,982,1,19.15350107
3,24,146,6,5127,1699,1687,12,32.90423249
3,25,147,6,5127,2312,2299,13,44.84103764
3,26,148,6,5127,1162,1161,1,22.64482153
3,27,149,6,5127,2219,2201,18,42.92958845
3,28,150,6,5127,1361,1360,1,26.52623366
3,29,151,6,5127,2537,2455,82,47.88375268
3,30,152,6,5127,1902,1897,5,37.00019505
3,31,153,6,5127,1828,1820,8,35.49834211
3,32,154,6,5127,1882,1869,13,36.45406671
3,33,155,6,5127,1943,1899,44,37.03920421
3,34,156,6,5127,1510,1509,1,29.43241662
3,35,157,6,5127,1143,1141,2,22.25472986
3,36,158,6,5127,1763,1761,2,34.34757168
3,37,159,6,5127,2397,2352,45,45.87478057
3,38,160,6,5127,1291,1291,0,25.1804174
3,39,161,6,5127,1307,1297,10,25.2974449
3,40,162,6,5127,2295,2249,46,43.86580846
3,41,163,6,5127,2155,2144,11,41.81782719
3,42,164,6,5127,1670,1659,11,32.35810415
3,43,165,6,5127,1870,1855,15,36.18100254
3,44,166,6,5127,2119,2105,14,41.05714843
3,45,167,6,5127,1499,1494,5,29.13984786
3,46,168,6,5127,1813,1787,26,34.85469085
3,47,169,6,5127,1514,1509,5,29.43241662
3,48,170,6,5127,1765,1720,45,33.54788375
3,49,171,6,5127,1754,1747,7,34.07450751
3,50,172,6,5127,2048,2029,19,39.57480008
3,51,173,6,5127,2978,2817,161,54.94441194
3,52,174,6,5127,1697,1694,3,33.04076458
3,53,175,6,5127,2098,2098,0,40.92061634
3,54,176,6,5127,1573,1565,8,30.5246733
3,55,177,6,5127,1835,1827,8,35.6348742
3,56,178,6,5127,1308,1303,5,25.4144724
3,57,179,6,5127,1336,1331,5,25.96060074
3,58,180,6,5127,1056,1056,0,20.59684026
3,59,181,6,5127,1591,1585,6,30.91476497
3,60,182,6,5127,1781,1778,3,34.6791496
3,61,183,6,5127,2066,2049,17,39.96489175
